SEASON,PTS,FG3_PCT,TS_PCT,LEAGUE_PTS_MEAN,LEAGUE_FG3_PCT_MEAN,LEAGUE_TS_PCT_MEAN,GAP_FG3_PCT,GAP_TS_PCT
2009-10,17.5,0.437,0.568,8.935781041388518,0.2413696650250956,0.5279244803876835,0.1956303349749044,0.0400755196123164
2010-11,18.6,0.442,0.595,8.714067098293112,0.2372380432831467,0.5246623847241232,0.2047619567168533,0.0703376152758767
2011-12,14.7,0.455,0.605,8.631602112676056,0.2552867652839558,0.5150475887038378,0.1997132347160442,0.0899524112961621
2012-13,22.9,0.453,0.589,8.266981132075472,0.2510911571853057,0.5105622947826232,0.2019088428146943,0.0784377052173768
2013-14,24.0,0.424,0.61,8.560384615384615,0.2523989617907536,0.5181197590096113,0.1716010382092463,0.0918802409903887
2014-15,23.8,0.443,0.638,8.589225181598064,0.2664077731872428,0.5221828020737426,0.1765922268127572,0.1158171979262574
2015-16,30.1,0.454,0.669,8.545744680851062,0.2666827690014468,0.519354142249631,0.1873172309985532,0.1496458577503691
2016-17,25.3,0.411,0.624,8.682356194690264,0.2839787227001072,0.5276006183241265,0.1270212772998927,0.0963993816758734
2017-18,26.4,0.423,0.675,9.148707753479126,0.2962476272130009,0.5288119712996063,0.126752372786999,0.1461880287003937
2018-19,27.3,0.437,0.641,9.340648184303006,0.2975038422377192,0.5266238410850479,0.1394961577622807,0.1143761589149521
2019-20,20.8,0.245,0.557,9.199254712845244,0.3116913313003106,0.5537418856071799,-0.0666913313003106,0.0032581143928201
2020-21,32.0,0.421,0.655,9.218423464711272,0.310083009977204,0.5566776225568442,0.1109169900227959,0.0983223774431558
2021-22,25.5,0.38,0.601,9.123456790123456,0.3054564846318416,0.5449066065284534,0.0745435153681584,0.0560933934715466
2022-23,29.4,0.427,0.656,9.569759926131116,0.3149457991675152,0.563052905657681,0.1120542008324847,0.092947094342319
2023-24,26.4,0.408,0.616,9.433569844789355,0.3139288899360367,0.555659434801958,0.0940711100639632,0.0603405651980419
2024-25,24.5,0.397,0.618,9.538240131578949,0.3139680566899931,0.5567766256128471,0.0830319433100068,0.0612233743871528
